    pgc , flag , sort
  36437 ,    0 ,    3
  11202 ,    2 ,    2
  12549 ,    0 ,    4
  28378 ,    2 ,    2
   4359 ,    0 ,    5
  17489 ,    0 ,    2
  69323 ,    0 ,    4
  52890 ,    1 ,    4
   1606 ,    2 ,    4
    450 ,    1 ,    2
  56003 ,    0 ,    2
  52412 ,    0 ,    4
  15512 ,    0 ,    2
1794291 ,    0 ,    2
  32396 ,    0 ,    4
  28222 ,    0 ,    2
  26071 ,    0 ,    2
  40310 ,    1 ,    2
  45022 ,    0 ,    5
  25940 ,    2 ,    3
  68666 ,    0 ,    3
  67694 ,    0 ,    5
  21328 ,    0 ,    1
  12633 ,    0 ,    3
  45000 ,    0 ,    6
  18987 ,    2 ,    6
  32346 ,    2 ,    3
  18181 ,    0 ,    3
1448276 ,    2 ,    1
  40085 ,    1 ,    2
  32041 ,    0 ,    7
   3466 ,    0 ,    2
  37290 ,    0 ,    6
   5032 ,    0 ,    4
  55636 ,    0 ,    2
  69887 ,    0 ,    4
  64485 ,    0 ,    3
   6607 ,    0 ,    1
  39191 ,    0 ,    4
   3239 ,    0 ,    2
  41578 ,    0 ,    5
  37449 ,    0 ,    2
  67339 ,    0 ,    6
  39734 ,    2 ,    2
   5746 ,    0 ,    2
   4509 ,    0 ,    1
  28656 ,    0 ,    6
  69327 ,    0 ,    2
  50169 ,    0 ,    2
  40409 ,    2 ,    3
  57463 ,    0 ,    2
  45066 ,    0 ,    4
  10943 ,    0 ,    2
  61353 ,    0 ,    4
  42791 ,    0 ,    4
  52565 ,    0 ,    4
   3351 ,    0 ,    2
  69786 ,    0 ,    3
  24836 ,    0 ,    2
  66993 ,    0 ,    1
  46171 ,    0 ,    2
  43595 ,    2 ,    2
  45097 ,    0 ,    1
  50635 ,    0 ,    3
  65510 ,    0 ,    1
  19261 ,    0 ,    2
  50341 ,    0 ,    4
  45088 ,    1 ,    3
  47750 ,    0 ,    1
  16359 ,    0 ,    3
  24685 ,    0 ,    4
  42202 ,    0 ,    3
  19475 ,    0 ,    2
  23447 ,    0 ,    1
  66829 ,    0 ,    4
 142846 ,    1 ,    7
  60044 ,    0 ,    2
  41766 ,    0 ,    6
  52383 ,    0 ,    3
1166532 ,    0 ,    1
  57329 ,    0 ,    2
  40954 ,    0 ,    4
 136075 ,    0 ,    5
  23646 ,    0 ,    5
  32519 ,    0 ,    2
  22763 ,    0 ,    4
  28248 ,    0 ,    9
  65198 ,    0 ,    1
  45058 ,    0 ,    2
  45098 ,    0 ,    1
  66514 ,    0 ,    2
  14246 ,    0 ,    3
  46261 ,    0 ,    3
  22640 ,    0 ,    2
  45084 ,    0 ,    3
  45006 ,    0 ,    2
  57332 ,    0 ,    4
  45039 ,    0 ,    3
  52121 ,    0 ,    4
  32992 ,    0 ,    2
